OBJECTID1,FID,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_STAr,Shape_STLe,COUNT,SHAPE_Length,SHAPE_Area
13,0,1,25,025,140202,25025140202,1402.02,Census Tract,G5020,S,1538599,17120,+42.2495181,-071.1175430,16744412.73,18525.13304,16,18708.25016,16555575.86
14,3,4,25,025,140106,25025140106,1401.06,Census Tract,G5020,S,278837,3116,+42.2738738,-071.1371416,3034720.103,7521.419039,15,7521.418472,3034720.085
15,8,9,25,025,030200,25025030200,302,Census Tract,G5020,S,58261,0,+42.3646862,-071.0570125,627068.1901,3941.005774,15,3941.005678,627068.2225
16,19,20,25,025,010801,25025010801,108.01,Census Tract,G5020,S,132039,0,+42.3541707,-071.0769092,1421146.632,6244.360561,19,6244.360275,1421146.552
17,5,6,25,025,980700,25025980700,9807,Census Tract,G5020,S,2888945,53061,+42.2614817,-071.1375704,31665131.23,40601.2885,7,46882.51566,31276494.02
18,9,10,25,025,030400,25025030400,304,Census Tract,G5020,S,165170,0,+42.3637112,-071.0536706,1777801.534,6188.643425,51,6188.643165,1777801.514
19,1,2,25,025,140300,25025140300,1403,Census Tract,G5020,S,1548879,38736,+42.2587734,-071.1188131,17087675.61,24186.6995,30,28763.83943,16764663.99
20,17,18,25,025,010104,25025010104,101.04,Census Tract,G5020,S,281681,5013,+42.3494300,-071.0937493,3085764.088,9402.014481,33,11605.44775,3044686.391
21,11,12,25,025,040300,25025040300,403,Census Tract,G5020,S,279606,0,+42.3787362,-071.0633901,3009469.737,9824.605661,20,9824.606273,3009469.934
22,18,19,25,025,010702,25025010702,107.02,Census Tract,G5020,S,300176,0,+42.3518383,-071.0755131,3230852.58,7834.933138,52,7834.932653,3230852.608
23,22,23,25,025,060200,25025060200,602,Census Tract,G5020,S,170385,0,+42.3325583,-071.0326799,1833887.31,7554.398642,13,7554.398888,1833887.331
24,21,22,25,025,051200,25025051200,512,Census Tract,G5020,S,429412,493577,+42.3644480,-071.0364673,9934307.626,19511.53122,18,23633.88026,4341699.21
25,24,25,25,025,060700,25025060700,607,Census Tract,G5020,S,128227,0,+42.3385217,-071.0539041,1380119.544,4777.787105,9,4777.787453,1380119.546
26,47,48,25,025,010802,25025010802,108.02,Census Tract,G5020,S,156827,0,+42.3515155,-071.0857007,1687983.984,6530.93443,22,6530.934512,1687984.206
27,30,31,25,025,981300,25025981300,9813,Census Tract,G5020,S,6986630,2032636,+42.3615186,-071.0073933,97076107.4,52661.5085,3,64548.28699,66731463.14
28,42,43,25,025,120104,25025120104,1201.04,Census Tract,G5020,S,405800,0,+42.3042695,-071.1170951,4367693.598,13539.90701,11,13539.90715,4367693.547
29,35,36,25,025,981201,25025981201,9812.01,Census Tract,G5020,S,799562,1327740,+42.3289903,-071.0346023,22896478.34,36388.2288,8,46293.56371,8531834.465
